No,Nama Menu,Kategori,Kalori (kcal),Sumber Karbohidrat,Bahan Utama / Pendamping,Deskripsi Singkat
165,CHICKEN STEAK Diet,Ayam,360,"Kentang, Ubi, Nasi Merah, Nasi Putih","Salad Sayur","Menu CHICKEN STEAK Diet yang sehat dan lezat."
166,Pangsit Ayam Kuah Premium,Ayam,362,"Kentang, Nasi Merah, Nasi Putih","Salad Sayur","Menu Pangsit Ayam Kuah Premium yang sehat dan lezat."
167,Fish Stick Saus Korea Spesial,Ikan,392,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu Fish Stick Saus Korea Spesial yang sehat dan lezat."
168,Ayam Bakar (Bacem) Lengkap,Ayam,398,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Menu Ayam Bakar (Bacem) Lengkap yang sehat dan lezat."
169,Chicken Teriyaki Grill Lengkap,Ayam,379,"Jagung, Nasi Merah, Kentang","Salad Sayur","Menu Chicken Teriyaki Grill Lengkap yang sehat dan lezat."
170,Grilled Chicken with Lettuce, Tomato, Kyuri Healthy,Ayam,427,"Kentang, Ubi, Nasi Merah, Nasi Putih","Salad Sayur","Menu Grilled Chicken with Lettuce, Tomato, Kyuri Healthy yang sehat dan lezat."
171,Ayam Sambel Geprek Bowl,Ayam,371,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Tofu","Menu Ayam Sambel Geprek Bowl yang sehat dan lezat."
172,Dori Stick Premium,Ikan,369,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Menu Dori Stick Premium yang sehat dan lezat."
173,Daging ayam (85 gram) memiliki 102 kalori, 2 gram lemak, dan 19 gram protein. Premium,Ayam,351,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu Daging ayam (85 gram) memiliki 102 kalori, 2 gram lemak, dan 19 gram protein. Premium yang sehat dan lezat."
174,Soto Betawi (Tanpa Santan) Premium,Sapi,359,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu Soto Betawi (Tanpa Santan) Premium yang sehat dan lezat."
175,Chicken Blackpepper & Egg Tortila Lengkap,Ayam,390,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu Chicken Blackpepper & Egg Tortila Lengkap yang sehat dan lezat."
176,Dori Sambal Matah Healthy,Ikan,355,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Menu Dori Sambal Matah Healthy yang sehat dan lezat."
177,Ayam Serundeng & Sambal Korek Lengkap,Ayam,418,"Kentang, Ubi, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Menu Ayam Serundeng & Sambal Korek Lengkap yang sehat dan lezat."
178,Dori Katsu Balado Spesial,Ikan,423,"Jagung, Nasi Merah, Nasi Putih","Salad Sayur","Menu Dori Katsu Balado Spesial yang sehat dan lezat."
179,Rawon Surabaya Lengkap,Sapi,423,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Menu Rawon Surabaya Lengkap yang sehat dan lezat."
180,Chicken Blackpepper Healthy,Ayam,391,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu Chicken Blackpepper Healthy yang sehat dan lezat."
181,Chicken Ball Crispy Diet,Ayam,449,"Jagung, Nasi Merah, Kentang","Tumis Sayur, Tofu","Menu Chicken Ball Crispy Diet yang sehat dan lezat."
182,Sei Ayam with Potatoes Premium,Ayam,379,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu Sei Ayam with Potatoes Premium yang sehat dan lezat."
183,Pangsit Ayam & Yamin/Yahun Healthy,Ayam,430,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu Pangsit Ayam & Yamin/Yahun Healthy yang sehat dan lezat."
184,Sei Sapi with Lemonilo Premium,Sapi,395,"Kentang, Ubi, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Menu Sei Sapi with Lemonilo Premium yang sehat dan lezat."
185,GRILLED CHICKEN SEI SAPI AYAM PENYET Diet,Ayam,359,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu GRILLED CHICKEN SEI SAPI AYAM PENYET Diet yang sehat dan lezat."
186,Chicken BBQ Grill Diet,Ayam,407,"Jagung, Nasi Merah, Nasi Putih","Salad Sayur","Menu Chicken BBQ Grill Diet yang sehat dan lezat."
187,Sei Sapi Diet,Sapi,355,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu Sei Sapi Diet yang sehat dan lezat."
188,Sei Ayam with Brown Rice & Sei Box,Sapi,436,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Menu Sei Ayam with Brown Rice & Sei Box yang sehat dan lezat."
189,Dietgo Fried Chicken Bowl,Ayam,351,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Snack","Menu Dietgo Fried Chicken Bowl yang sehat dan lezat."
190,Beef Yakiniku Spesial,Sapi,413,"Jagung, Nasi Merah, Kentang","Steamed Vege, Tofu","Menu Beef Yakiniku Spesial yang sehat dan lezat."
191,Chicken Sandwich Box,Ayam,418,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu Chicken Sandwich Box yang sehat dan lezat."
192,Dori Popcorn Premium,Ikan,436,"Kentang, Ubi, Nasi Merah, Nasi Putih","Tumis Sayur, Snack","Menu Dori Popcorn Premium yang sehat dan lezat."
193,Dori Sambal Matah Diet,Ikan,395,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Menu Dori Sambal Matah Diet yang sehat dan lezat."
194,Chicken Crispy Saus Barbeque Lengkap,Ayam,427,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Menu Chicken Crispy Saus Barbeque Lengkap yang sehat dan lezat."
195,Chicken Patty Crispy Bowl,Ayam,379,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Menu Chicken Patty Crispy Bowl yang sehat dan lezat."
196,Chicken Ball Crispy Lengkap,Ayam,373,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu Chicken Ball Crispy Lengkap yang sehat dan lezat."
197,Gulai Ikan Healthy,Ikan,356,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Menu Gulai Ikan Healthy yang sehat dan lezat."
198,Bola Daging Teriyaki Box,Sapi,434,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Tofu","Menu Bola Daging Teriyaki Box yang sehat dan lezat."
199,Bola Daging Saus Lada Hitam Diet,Sapi,434,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu Bola Daging Saus Lada Hitam Diet yang sehat dan lezat."
200,Japanese Beef Gyudon with Lemonilo Premium,Sapi,423,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu Japanese Beef Gyudon with Lemonilo Premium yang sehat dan lezat."
201,Fish Stick Saus Wijen Premium,Ikan,369,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Tofu","Menu Fish Stick Saus Wijen Premium yang sehat dan lezat."
202,Beef Burger Diet,Sapi,410,"Kentang, Ubi, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Menu Beef Burger Diet yang sehat dan lezat."
203,Chicken Ball Blackpepper Box,Ayam,425,"Jagung, Nasi Merah, Nasi Putih","Salad Sayur","Menu Chicken Ball Blackpepper Box yang sehat dan lezat."
204,Japanese Beef Gyudon with Brown Rice Spesial,Sapi,428,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Tofu","Menu Japanese Beef Gyudon with Brown Rice Spesial yang sehat dan lezat."
205,Chicken Teriyaki Grill Healthy,Ayam,437,"Kentang, Ubi, Nasi Merah, Nasi Putih","Salad Sayur","Menu Chicken Teriyaki Grill Healthy yang sehat dan lezat."
206,Rawon Surabaya Lengkap,Sapi,447,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Menu Rawon Surabaya Lengkap yang sehat dan lezat."
207,Dori Oat Saus Asam Manis Diet,Ikan,423,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Menu Dori Oat Saus Asam Manis Diet yang sehat dan lezat."
208,Chicken Katsu Premium,Ayam,447,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Menu Chicken Katsu Premium yang sehat dan lezat."
209,Soto Bandung Healthy,Sapi,355,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Menu Soto Bandung Healthy yang sehat dan lezat."
210,Bola Ayam Saus Asam Pedas Box,Ayam,434,"Jagung, Nasi Merah, Nasi Putih","Salad Sayur","Menu Bola Ayam Saus Asam Pedas Box yang sehat dan lezat."
211,Dori Katsu Balado Premium,Ikan,447,"Kentang, Ubi, Nasi Merah, Nasi Putih","Salad Sayur","Menu Dori Katsu Balado Premium yang sehat dan lezat."
212,Sapi Cabe Garam Lengkap,Sapi,447,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Snack","Menu Sapi Cabe Garam Lengkap yang sehat dan lezat."
213,Soto Ayam Spesial Diet,Ayam,430,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Snack","Menu Soto Ayam Spesial Diet yang sehat dan lezat."
214,Chicken Rolade Healthy,Ayam,449,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Menu Chicken Rolade Healthy yang sehat dan lezat."
215,Chicken Karage Saus Korea Lengkap,Ayam,379,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Menu Chicken Karage Saus Korea Lengkap yang sehat dan lezat."
216,Dori Sambal Matah Healthy,Ikan,392,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Tofu","Menu Dori Sambal Matah Healthy yang sehat dan lezat."
217,Ayam with Brown Rice Lengkap,Ayam,437,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Tofu","Menu Ayam with Brown Rice Lengkap yang sehat dan lezat."
218,Chicken Woku Bowl,Ayam,395,"Kentang, Ubi, Nasi Merah, Nasi Putih","Salad Sayur","Menu Chicken Woku Bowl yang sehat dan lezat."
219,Ayam Saus Mentega Box,Ayam,351,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Tofu","Menu Ayam Saus Mentega Box yang sehat dan lezat."
220,Bola Ayam Crispy Healthy,Ayam,418,"Kentang, Ubi, Nasi Merah, Nasi Putih","Salad Sayur","Menu Bola Ayam Crispy Healthy yang sehat dan lezat."
221,Dori Cabe Garam Bowl,Ikan,436,"Jagung, Nasi Merah, Nasi Putih","Salad Sayur","Menu Dori Cabe Garam Bowl yang sehat dan lezat."
222,Ayam Maranggi Spesial,Ayam,427,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Menu Ayam Maranggi Spesial yang sehat dan lezat."
223,Healthy Fried Chicken Diet,Ayam,355,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu Healthy Fried Chicken Diet yang sehat dan lezat."
224,Sapi Cabe Garam Bowl,Sapi,430,"Jagung, Nasi Merah, Nasi Putih","Salad Sayur","Menu Sapi Cabe Garam Bowl yang sehat dan lezat."
225,Sapi Cabe Garam Lengkap,Sapi,434,"Jagung, Nasi Merah, Nasi Putih","Salad Sayur","Menu Sapi Cabe Garam Lengkap yang sehat dan lezat."
226,Dori Katsu Lengkap,Ikan,373,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Menu Dori Katsu Lengkap yang sehat dan lezat."
227,Ayam Saus Wijen Premium,Ayam,360,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu Ayam Saus Wijen Premium yang sehat dan lezat."
228,Ayam Cabe Ijo Lengkap,Ayam,369,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Tofu","Menu Ayam Cabe Ijo Lengkap yang sehat dan lezat."
229,Beef & Tofu Teriyaki Bowl,Sapi,436,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu Beef & Tofu Teriyaki Bowl yang sehat dan lezat."
230,Dori Sambal Ijo Box,Ikan,368,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Tofu","Menu Dori Sambal Ijo Box yang sehat dan lezat."
231,Chicken Grill Sambal Matah Healthy,Ayam,379,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu Chicken Grill Sambal Matah Healthy yang sehat dan lezat."
232,with Brown Rice Healthy,Lainnya,369,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu with Brown Rice Healthy yang sehat dan lezat."
233,Tumis Ayam Paprika Box,Ayam,434,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Menu Tumis Ayam Paprika Box yang sehat dan lezat."
234,Baked Chicken Honey Premium,Ayam,418,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Tofu","Menu Baked Chicken Honey Premium yang sehat dan lezat."
235,Sei Sapi with Brown Rice Spesial,Sapi,395,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Tofu","Menu Sei Sapi with Brown Rice Spesial yang sehat dan lezat."
236,Chicken Ball Crispy Box,Ayam,413,"Jagung, Nasi Merah, Nasi Putih","Salad Sayur","Menu Chicken Ball Crispy Box yang sehat dan lezat."
237,Beef Yakiniku Box,Sapi,355,"Kentang, Ubi, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Menu Beef Yakiniku Box yang sehat dan lezat."
238,Chicken Honey Healthy,Ayam,364,"Kentang, Nasi Merah, Nasi Putih","Salad Sayur","Menu Chicken Honey Healthy yang sehat dan lezat."
239,Sempol Ayam Grill Bowl,Ayam,360,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Menu Sempol Ayam Grill Bowl yang sehat dan lezat."
240,Beef Bulgogi Healthy,Sapi,430,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Menu Beef Bulgogi Healthy yang sehat dan lezat."
241,Chicken Herbs Grill & Egg Tortila Bowl,Ayam,449,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu Chicken Herbs Grill & Egg Tortila Bowl yang sehat dan lezat."
242,Beef & Tofu Teriyaki Lengkap,Sapi,437,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Menu Beef & Tofu Teriyaki Lengkap yang sehat dan lezat."
243,Chicken Ball Woku Lengkap,Ayam,364,"Kentang, Nasi Merah, Nasi Putih","Salad Sayur","Menu Chicken Ball Woku Lengkap yang sehat dan lezat."
244,Chicken Teriyaki Grill Healthy,Ayam,437,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu Chicken Teriyaki Grill Healthy yang sehat dan lezat."
245,Dori Saus Mentega Diet,Ikan,439,"Jagung, Nasi Merah, Nasi Putih","Salad Sayur","Menu Dori Saus Mentega Diet yang sehat dan lezat."
246,Grilled Chicken Dietgo Healthy,Ayam,425,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Menu Grilled Chicken Dietgo Healthy yang sehat dan lezat."
247,Dori Cabe Garam Premium,Ikan,369,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu Dori Cabe Garam Premium yang sehat dan lezat."
248,Japanese Beef Gyudon with Lemonilo Premium,Sapi,410,"Kentang, Ubi, Nasi Merah, Nasi Putih","Salad Sayur","Menu Japanese Beef Gyudon with Lemonilo Premium yang sehat dan lezat."
249,Ayam Serundeng Healthy,Ayam,425,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Menu Ayam Serundeng Healthy yang sehat dan lezat."
250,Chicken Blackpepper Lengkap,Ayam,423,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Menu Chicken Blackpepper Lengkap yang sehat dan lezat."
251,Fish Stick Saus Korea Diet,Ikan,436,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Menu Fish Stick Saus Korea Diet yang sehat dan lezat."
252,Chicken Ball Crispy Premium,Ayam,427,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Menu Chicken Ball Crispy Premium yang sehat dan lezat."
253,Dori Salted Egg Diet,Ikan,423,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu Dori Salted Egg Diet yang sehat dan lezat."
254,Chicken Tomyum Healthy,Ayam,379,"Kentang, Ubi, Nasi Merah, Nasi Putih","Salad Sayur","Menu Chicken Tomyum Healthy yang sehat dan lezat."
255,with Brown Rice Box,Lainnya,418,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Menu with Brown Rice Box yang sehat dan lezat."
256,Chicken Patty Crispy Bowl,Ayam,449,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Menu Chicken Patty Crispy Bowl yang sehat dan lezat."
257,Sapi Cabe Garam Box,Sapi,434,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu Sapi Cabe Garam Box yang sehat dan lezat."
258,Chicken Woku Bowl,Ayam,391,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Menu Chicken Woku Bowl yang sehat dan lezat."
259,Chicken Grill Sambal Matah Lengkap,Ayam,359,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Menu Chicken Grill Sambal Matah Lengkap yang sehat dan lezat."
260,Chicken Blackpepper & Egg Tortila Box,Ayam,449,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Menu Chicken Blackpepper & Egg Tortila Box yang sehat dan lezat."
261,Ayam Bakar Padang Spesial,Ayam,360,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu Ayam Bakar Padang Spesial yang sehat dan lezat."
262,Ayam Maranggi Spesial,Ayam,434,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu Ayam Maranggi Spesial yang sehat dan lezat."
263,Chicken Blackpepper Healthy,Ayam,449,"Jagung, Nasi Merah, Kentang","Salad Sayur","Menu Chicken Blackpepper Healthy yang sehat dan lezat."
264,Dori Katsu Saus Asam Manis Healthy,Ikan,436,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu Dori Katsu Saus Asam Manis Healthy yang sehat dan lezat."
265,Ayam Maranggi Box,Ayam,395,"Kentang, Ubi, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Menu Ayam Maranggi Box yang sehat dan lezat."
266,Bola Daging Teriyaki Box,Sapi,355,"Kentang, Nasi Merah, Nasi Putih","Salad Sayur","Menu Bola Daging Teriyaki Box yang sehat dan lezat."
267,Sapi Cabe Garam Bowl,Sapi,373,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Tofu","Menu Sapi Cabe Garam Bowl yang sehat dan lezat."
268,Beef Burger Diet,Sapi,370,"Jagung, Nasi Merah, Nasi Putih","Salad Sayur","Menu Beef Burger Diet yang sehat dan lezat."
269,Beef Bulgogi Healthy,Sapi,370,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Menu Beef Bulgogi Healthy yang sehat dan lezat."
270,Dori Sambal Ijo Box,Ikan,356,"Kentang, Nasi Merah, Nasi Putih","Salad Sayur","Menu Dori Sambal Ijo Box yang sehat dan lezat."
271,Japanese Beef Gyudon with Brown Rice Spesial,Sapi,391,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu Japanese Beef Gyudon with Brown Rice Spesial yang sehat dan lezat."
272,Ayam Serundeng Healthy,Ayam,449,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu Ayam Serundeng Healthy yang sehat dan lezat."
273,Chicken Teriyaki Grill Lengkap,Ayam,427,"Kentang, Ubi, Nasi Merah, Nasi Putih","Salad Sayur","Menu Chicken Teriyaki Grill Lengkap yang sehat dan lezat."
274,Chicken Honey Healthy,Ayam,360,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu Chicken Honey Healthy yang sehat dan lezat."
275,Baked Chicken Honey Premium,Ayam,362,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Menu Baked Chicken Honey Premium yang sehat dan lezat."
276,Soto Ayam Spesial Diet,Ayam,423,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Menu Soto Ayam Spesial Diet yang sehat dan lezat."
277,Grilled Chicken with Lemonilo Healthy,Ayam,395,"Kentang, Ubi, Nasi Merah, Nasi Putih","Salad Sayur","Menu Grilled Chicken with Lemonilo Healthy yang sehat dan lezat."
278,Chicken Ball Crispy Premium,Ayam,364,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Menu Chicken Ball Crispy Premium yang sehat dan lezat."
279,Dori Oat Saus Wijen Premium,Ikan,398,"Jagung, Nasi Merah, Nasi Putih","Salad Sayur","Menu Dori Oat Saus Wijen Premium yang sehat dan lezat."
280,Ayam Saus Mentega Diet,Ayam,362,"Jagung, Nasi Merah, Nasi Putih","Salad Sayur","Menu Ayam Saus Mentega Diet yang sehat dan lezat."
281,Dori Oat Saus Asam Manis Diet,Ikan,379,"Kentang, Nasi Merah, Nasi Putih","Salad Sayur","Menu Dori Oat Saus Asam Manis Diet yang sehat dan lezat."
282,Rawon Surabaya Lengkap,Sapi,434,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu Rawon Surabaya Lengkap yang sehat dan lezat."
283,Opor Ayam (Tanpa Santan) Lengkap,Ayam,379,"Kentang, Ubi, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Menu Opor Ayam (Tanpa Santan) Lengkap yang sehat dan lezat."
284,Chicken Ball Blackpepper Box,Ayam,449,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Tofu","Menu Chicken Ball Blackpepper Box yang sehat dan lezat."
285,Sempol Ayam Grill Bowl,Ayam,434,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Tofu","Menu Sempol Ayam Grill Bowl yang sehat dan lezat."
286,Dori Katsu Balado Premium,Ikan,436,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu Dori Katsu Balado Premium yang sehat dan lezat."
287,Grilled Chicken Dietgo Healthy,Ayam,395,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu Grilled Chicken Dietgo Healthy yang sehat dan lezat."
288,Pasta Aglio Eolio & Dori Stick Diet,Ikan,428,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Menu Pasta Aglio Eolio & Dori Stick Diet yang sehat dan lezat."
289,Sapi Cabe Garam Lengkap,Sapi,423,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Tofu","Menu Sapi Cabe Garam Lengkap yang sehat dan lezat."
290,Soto Bandung Healthy,Sapi,428,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Menu Soto Bandung Healthy yang sehat dan lezat."
291,with Brown Rice Healthy,Lainnya,368,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Menu with Brown Rice Healthy yang sehat dan lezat."
292,Dori Stick Premium,Ikan,398,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Menu Dori Stick Premium yang sehat dan lezat."
293,Ayam Sambel Geprek Bowl,Ayam,418,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Menu Ayam Sambel Geprek Bowl yang sehat dan lezat."
294,Beef Yakiniku Spesial,Sapi,355,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Menu Beef Yakiniku Spesial yang sehat dan lezat."
295,Soto Ayam Spesial Spesial,Ayam,351,"Kentang, Nasi Merah, Nasi Putih","Salad Sayur","Menu Soto Ayam Spesial Spesial yang sehat dan lezat."
296,Sei Sapi with Potatoes Diet,Sapi,368,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Tofu","Menu Sei Sapi with Potatoes Diet yang sehat dan lezat."
297,Sei Sapi with Lemonilo Premium,Sapi,427,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu Sei Sapi with Lemonilo Premium yang sehat dan lezat."
298,Chicken Herbs Grill & Egg Tortila Bowl,Ayam,419,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Menu Chicken Herbs Grill & Egg Tortila Bowl yang sehat dan lezat."
299,Sei Ayam with Potatoes Premium,Ayam,391,"Jagung, Nasi Merah, Kentang","Salad Sayur","Menu Sei Ayam with Potatoes Premium yang sehat dan lezat."
300,Fish Stick Saus Wijen Premium,Ikan,360,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu Fish Stick Saus Wijen Premium yang sehat dan lezat."
301,Spaghetti Ayam Geprek,Ayam,548,Pasta,Brokoli Rebus,"Menu Spaghetti Ayam Geprek ala Yellow Fit Kitchen, rendah kalori dan bergizi."
302,Healthy Japanese Sushi Roll,Lainnya,546,Nasi Coklat,Kimchi,"Menu Healthy Japanese Sushi Roll ala Yellow Fit Kitchen, rendah kalori dan bergizi."
303,Telur Mata Sapi Balado Special,Lainnya,527,Pasta,Salad Oil Dressing,"Menu Telur Mata Sapi Balado Special ala Yellow Fit Kitchen, rendah kalori dan bergizi."
304,Salmon Red Thai Curry YellowFit,Seafood,538,Pasta,Mushroom Melt,"Menu Salmon Red Thai Curry YellowFit ala Yellow Fit Kitchen, rendah kalori dan bergizi."
305,Ayam Asam Manis Healthy,Ayam,536,Red Grain Rice,Sunny Egg,"Menu Ayam Asam Manis Healthy ala Yellow Fit Kitchen, rendah kalori dan bergizi."
306,Pizza Fit,Lainnya,527,Pasta,Sunny Egg,"Menu Pizza Fit ala Yellow Fit Kitchen, rendah kalori dan bergizi."
307,Ayam Goreng Kunyit,Ayam,509,Nasi Merah,Kimchi,"Menu Ayam Goreng Kunyit ala Yellow Fit Kitchen, rendah kalori dan bergizi."
308,Ayam Goreng Kunyit YellowFit,Ayam,517,Jagung,Tumis Sayur,"Menu Ayam Goreng Kunyit YellowFit ala Yellow Fit Kitchen, rendah kalori dan bergizi."
309,Khao Soi Noodle Supreme,Lainnya,471,Jagung,Kimchi,"Menu Khao Soi Noodle Supreme ala Yellow Fit Kitchen, rendah kalori dan bergizi."
310,Chicken Soy Garlic YangNyeom Supreme,Ayam,544,Nasi Merah,Kimchi,"Menu Chicken Soy Garlic YangNyeom Supreme ala Yellow Fit Kitchen, rendah kalori dan bergizi."
311,Prawn Cake Thailand Sauce,Seafood,536,Nasi Merah,Brokoli Rebus,"Menu Prawn Cake Thailand Sauce ala Yellow Fit Kitchen, rendah kalori dan bergizi."
312,Opor Susu Legenda Deluxe,Lainnya,451,Garlic Rice,Kimchi,"Menu Opor Susu Legenda Deluxe ala Yellow Fit Kitchen, rendah kalori dan bergizi."
313,Mac Diet Panas Special,Lainnya,527,Red Grain Rice,Mushroom Melt,"Menu Mac Diet Panas Special ala Yellow Fit Kitchen, rendah kalori dan bergizi."
314,Healthy Oseng Mercon Sapi,Sapi,507,Nasi Hitam,Salad Oil Dressing,"Menu Healthy Oseng Mercon Sapi ala Yellow Fit Kitchen, rendah kalori dan bergizi."
315,Baked Fish Mozaru,Ikan,537,Pasta,Kimchi,"Menu Baked Fish Mozaru ala Yellow Fit Kitchen, rendah kalori dan bergizi."
316,Thai Coconut Curry Baby Corn Chef's Choice,Lainnya,549,Jagung,Sunny Egg,"Menu Thai Coconut Curry Baby Corn Chef's Choice ala Yellow Fit Kitchen, rendah kalori dan bergizi."
