No,Nama_Menu,Kategori,Kalori,Sumber_Karbohidrat,Deskripsi_Menu,Karbo_List,corpus,Karbo_Clean,Nama_Lower,Deskripsi_Lower,Keyword_Semantik,enhanced_corpus,enhanced_corpus_mccbf,corpus_rf,Prediksi,Benar
274,Ayam Madu Sehat,ayam,360,kentang ubi nasi merah nasi putih,menu chicken honey healthy yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",chicken honey healthy ayam kentang ubi nasi merah nasi putih menu chicken honey healthy yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",ayam madu sehat,menu chicken honey healthy yang sehat dan lezat,protein_ayam,ayam madu sehat protein_ayam,ayam madu sehat menu chicken honey healthy yang sehat dan lezat nasi merah ubi putih kentang protein_ayam,ayam madu sehat menu chicken honey healthy yang sehat dan lezat,ayam,True
229,Sapi Tofu Teriyaki Mangkuk,sapi,436,jagung nasi merah nasi putih,menu beef tofu teriyaki bowl yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",beef tofu teriyaki bowl sapi jagung nasi merah nasi putih menu beef tofu teriyaki bowl yang sehat dan lezat,"jagung, nasi merah, nasi putih",sapi tofu teriyaki mangkuk,menu beef tofu teriyaki bowl yang sehat dan lezat,protein_sapi teriyaki,sapi tofu teriyaki mangkuk protein_sapi flavored,sapi tofu teriyaki mangkuk menu beef tofu teriyaki bowl yang sehat dan lezat nasi putih jagung merah protein_sapi teriyaki,sapi tofu teriyaki mangkuk menu beef tofu teriyaki bowl yang sehat dan lezat,sapi,True
170,Ayam Teriyaki Panggang Lengkap,ayam,379,jagung nasi merah kentang,menu chicken teriyaki grill lengkap yang sehat dan lezat,"['nasi', 'kentang', 'jagung', 'merah']",chicken teriyaki grill lengkap ayam jagung nasi merah kentang menu chicken teriyaki grill lengkap yang sehat dan lezat,"jagung, nasi merah, kentang",ayam teriyaki panggang lengkap,menu chicken teriyaki grill lengkap yang sehat dan lezat,protein_ayam panggang teriyaki,ayam teriyaki panggang lengkap protein_ayam cooked flavored,ayam teriyaki panggang lengkap menu chicken teriyaki grill lengkap yang sehat dan lezat nasi kentang jagung merah protein_ayam panggang teriyaki,ayam teriyaki panggang lengkap menu chicken teriyaki grill lengkap yang sehat dan lezat,ayam,True
238,Ayam Madu Sehat,ayam,364,kentang nasi merah nasi putih,menu chicken honey healthy yang sehat dan lezat,"['nasi', 'putih', 'kentang', 'merah']",chicken honey healthy ayam kentang nasi merah nasi putih menu chicken honey healthy yang sehat dan lezat,"kentang, nasi merah, nasi putih",ayam madu sehat,menu chicken honey healthy yang sehat dan lezat,protein_ayam,ayam madu sehat protein_ayam,ayam madu sehat menu chicken honey healthy yang sehat dan lezat nasi putih kentang merah protein_ayam,ayam madu sehat menu chicken honey healthy yang sehat dan lezat,ayam,True
13,Ayam Saus Wijen,ayam,400,kentang nasi merah nasi putih,ayam tumis dengan saus wijen rasa gurih,"['nasi', 'putih', 'kentang', 'merah']",ayam saus wijen ayam kentang nasi merah nasi putih ayam tumis dengan saus wijen rasa gurih,"kentang, nasi merah, nasi putih",ayam saus wijen,ayam tumis dengan saus wijen rasa gurih,protein_ayam,ayam saus wijen protein_ayam flavored,ayam saus wijen ayam tumis dengan saus wijen rasa gurih nasi putih kentang merah protein_ayam,ayam saus wijen ayam tumis dengan saus wijen rasa gurih,ayam,True
457,Tahu Kari,vegetarian,250,kentang nasi putih,kari tahu bumbu rempah tanpa santan rendah lemak,"['kentang', 'nasi', 'putih']",tahu kari vegetarian kentang nasi putih kari tahu bumbu rempah tanpa santan rendah lemak,"kentang, nasi putih",tahu kari,kari tahu bumbu rempah tanpa santan rendah lemak,protein_vegetarian,tahu kari protein_vegetarian flavored,tahu kari kari tahu bumbu rempah tanpa santan rendah lemak nasi putih kentang protein_vegetarian,tahu kari kari tahu bumbu rempah tanpa santan rendah lemak,vegetarian,True
459,Tahu Saus Mentega,vegetarian,280,nasi merah,tahu dalam saus mentega klasik gurih rendah minyak,"['nasi', 'merah']",tahu saus mentega vegetarian nasi merah tahu dalam saus mentega klasik gurih rendah minyak,nasi merah,tahu saus mentega,tahu dalam saus mentega klasik gurih rendah minyak,protein_vegetarian,tahu saus mentega protein_vegetarian flavored,tahu saus mentega tahu dalam saus mentega klasik gurih rendah minyak nasi merah protein_vegetarian,tahu saus mentega tahu dalam saus mentega klasik gurih rendah minyak,vegetarian,True
382,Ayam Asam Manis Sehat Yellowfit,ayam,530,nasi putih,menu ayam asam manis healthy yellowfit ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'putih']",ayam asam manis healthy yellowfit ayam nasi putih menu ayam asam manis healthy yellowfit ala yellow fit kitchen rendah kalori dan bergizi,nasi putih,ayam asam manis sehat yellowfit,menu ayam asam manis healthy yellowfit ala yellow fit kitchen rendah kalori dan bergizi,protein_ayam manis,ayam asam manis sehat yellowfit protein_ayam flavored,ayam asam manis sehat yellowfit menu ayam asam manis healthy yellowfit ala yellow fit kitchen rendah kalori dan bergizi nasi putih protein_ayam manis,ayam asam manis sehat yellowfit menu ayam asam manis healthy yellowfit ala yellow fit kitchen rendah kalori dan bergizi,ayam,True
61,Soto Ayam Spesial,ayam,395,bihun kentang nasi merah nasi putih,soto ayam kuah kuning lauk lengkap tanpa santan,"['nasi', 'merah', 'bihun', 'putih', 'kentang']",soto ayam spesial ayam bihun kentang nasi merah nasi putih soto ayam kuah kuning lauk lengkap tanpa santan,"bihun, kentang, nasi merah, nasi putih",soto ayam spesial,soto ayam kuah kuning lauk lengkap tanpa santan,protein_ayam,soto ayam spesial protein_ayam,soto ayam spesial soto ayam kuah kuning lauk lengkap tanpa santan nasi merah bihun putih kentang protein_ayam,soto ayam spesial soto ayam kuah kuning lauk lengkap tanpa santan,ayam,True
399,Ayam Soy Garlic Yangnyeom Super,ayam,530,nasi merah,menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",chicken soy garlic yangnyeom supreme ayam nasi merah menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,ayam soy garlic yangnyeom super,menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi,protein_ayam,ayam soy garlic yangnyeom super protein_ayam,ayam soy garlic yangnyeom super menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein_ayam,ayam soy garlic yangnyeom super menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi,ayam,True
312,Opor Susu Legenda Istimewa,ayam,451,nasi putih,menu opor susu legenda deluxe ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'putih']",opor susu legenda deluxe lainnya nasi putih menu opor susu legenda deluxe ala yellow fit kitchen rendah kalori dan bergizi,nasi putih,opor susu legenda istimewa,menu opor susu legenda deluxe ala yellow fit kitchen rendah kalori dan bergizi,,opor susu legenda istimewa opor susu legenda istimewa,opor susu legenda istimewa menu opor susu legenda deluxe ala yellow fit kitchen rendah kalori dan bergizi nasi putih ,opor susu legenda istimewa menu opor susu legenda deluxe ala yellow fit kitchen rendah kalori dan bergizi,ayam,True
431,Khao Soi Noodle Super,ayam,527,nasi kuning,menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'kuning']",khao soi noodle supreme lainnya nasi kuning menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi,nasi kuning,khao soi noodle super,menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi,,khao soi noodle super khao soi noodle super,khao soi noodle super menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi nasi kuning ,khao soi noodle super menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi,ayam,True
308,Ayam Goreng Kunyit Yellowfit,ayam,517,jagung,menu ayam goreng kunyit yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['jagung'],ayam goreng kunyit yellowfit ayam jagung menu ayam goreng kunyit yellowfit ala yellow fit kitchen rendah kalori dan bergizi,jagung,ayam goreng kunyit yellowfit,menu ayam goreng kunyit yellowfit ala yellow fit kitchen rendah kalori dan bergizi,protein_ayam goreng,ayam goreng kunyit yellowfit protein_ayam cooked,ayam goreng kunyit yellowfit menu ayam goreng kunyit yellowfit ala yellow fit kitchen rendah kalori dan bergizi jagung protein_ayam goreng,ayam goreng kunyit yellowfit menu ayam goreng kunyit yellowfit ala yellow fit kitchen rendah kalori dan bergizi,ayam,True
288,Pasta Aglio Eolio Dori Stik Diet,ikan,428,jagung nasi merah nasi putih,menu pasta aglio eolio dori stick diet yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",pasta aglio eolio dori stick diet ikan jagung nasi merah nasi putih menu pasta aglio eolio dori stick diet yang sehat dan lezat,"jagung, nasi merah, nasi putih",pasta aglio eolio dori stik diet,menu pasta aglio eolio dori stick diet yang sehat dan lezat,protein_ikan,pasta aglio eolio dori stik diet protein_ikan,pasta aglio eolio dori stik diet menu pasta aglio eolio dori stick diet yang sehat dan lezat nasi putih jagung merah protein_ikan,pasta aglio eolio dori stik diet menu pasta aglio eolio dori stick diet yang sehat dan lezat,ikan,True
166,Pangsit Ayam Kuah Premium,ayam,362,kentang nasi merah nasi putih,menu pangsit ayam kuah premium yang sehat dan lezat,"['nasi', 'putih', 'kentang', 'merah']",pangsit ayam kuah premium ayam kentang nasi merah nasi putih menu pangsit ayam kuah premium yang sehat dan lezat,"kentang, nasi merah, nasi putih",pangsit ayam kuah premium,menu pangsit ayam kuah premium yang sehat dan lezat,protein_ayam,pangsit ayam kuah premium protein_ayam,pangsit ayam kuah premium menu pangsit ayam kuah premium yang sehat dan lezat nasi putih kentang merah protein_ayam,pangsit ayam kuah premium menu pangsit ayam kuah premium yang sehat dan lezat,ayam,True
383,Khao Soi Noodle Super,ayam,532,nasi kuning,menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'kuning']",khao soi noodle supreme lainnya nasi kuning menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi,nasi kuning,khao soi noodle super,menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi,,khao soi noodle super khao soi noodle super,khao soi noodle super menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi nasi kuning ,khao soi noodle super menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi,ayam,True
194,Ayam Krispi Saus Barbeque Lengkap,ayam,427,kentang nasi merah nasi putih,menu chicken crispy saus barbeque lengkap yang sehat dan lezat,"['nasi', 'putih', 'kentang', 'merah']",chicken crispy saus barbeque lengkap ayam kentang nasi merah nasi putih menu chicken crispy saus barbeque lengkap yang sehat dan lezat,"kentang, nasi merah, nasi putih",ayam krispi saus barbeque lengkap,menu chicken crispy saus barbeque lengkap yang sehat dan lezat,protein_ayam,ayam krispi saus barbeque lengkap protein_ayam flavored,ayam krispi saus barbeque lengkap menu chicken crispy saus barbeque lengkap yang sehat dan lezat nasi putih kentang merah protein_ayam,ayam krispi saus barbeque lengkap menu chicken crispy saus barbeque lengkap yang sehat dan lezat,ayam,True
81,Ayam Maranggi,ayam,400,kentang nasi merah nasi putih,ayam bumbu maranggi tumis sayur lauk telur,"['nasi', 'putih', 'kentang', 'merah']",ayam maranggi ayam kentang nasi merah nasi putih ayam bumbu maranggi tumis sayur lauk telur,"kentang, nasi merah, nasi putih",ayam maranggi,ayam bumbu maranggi tumis sayur lauk telur,protein_ayam,ayam maranggi protein_ayam,ayam maranggi ayam bumbu maranggi tumis sayur lauk telur nasi putih kentang merah protein_ayam,ayam maranggi ayam bumbu maranggi tumis sayur lauk telur,ayam,True
105,Ikan Woku,ikan,400,kentang nasi merah nasi putih,ikan bumbu woku pedas kemangi lauk telur orak arik,"['nasi', 'putih', 'kentang', 'merah']",ikan woku ikan kentang nasi merah nasi putih ikan bumbu woku pedas kemangi lauk telur orak arik,"kentang, nasi merah, nasi putih",ikan woku,ikan bumbu woku pedas kemangi lauk telur orak arik,protein_ikan,ikan woku protein_ikan,ikan woku ikan bumbu woku pedas kemangi lauk telur orak arik nasi putih kentang merah protein_ikan,ikan woku ikan bumbu woku pedas kemangi lauk telur orak arik,ikan,True
150,Ayam Tomyum Paket,ayam,370,jagung nasi merah nasi putih,menu chicken tomyum box yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",chicken tomyum box ayam jagung nasi merah nasi putih menu chicken tomyum box yang sehat dan lezat,"jagung, nasi merah, nasi putih",ayam tomyum paket,menu chicken tomyum box yang sehat dan lezat,protein_ayam,ayam tomyum paket protein_ayam,ayam tomyum paket menu chicken tomyum box yang sehat dan lezat nasi putih jagung merah protein_ayam,ayam tomyum paket menu chicken tomyum box yang sehat dan lezat,ayam,True
190,Sapi Yakiniku Spesial,sapi,413,jagung nasi merah kentang,menu beef yakiniku spesial yang sehat dan lezat,"['nasi', 'kentang', 'jagung', 'merah']",beef yakiniku spesial sapi jagung nasi merah kentang menu beef yakiniku spesial yang sehat dan lezat,"jagung, nasi merah, kentang",sapi yakiniku spesial,menu beef yakiniku spesial yang sehat dan lezat,protein_sapi,sapi yakiniku spesial protein_sapi,sapi yakiniku spesial menu beef yakiniku spesial yang sehat dan lezat nasi kentang jagung merah protein_sapi,sapi yakiniku spesial menu beef yakiniku spesial yang sehat dan lezat,sapi,True
439,Ayam Goreng Kunyit Istimewa,ayam,525,nasi putih,menu ayam goreng kunyit deluxe ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'putih']",ayam goreng kunyit deluxe ayam nasi putih menu ayam goreng kunyit deluxe ala yellow fit kitchen rendah kalori dan bergizi,nasi putih,ayam goreng kunyit istimewa,menu ayam goreng kunyit deluxe ala yellow fit kitchen rendah kalori dan bergizi,protein_ayam goreng,ayam goreng kunyit istimewa protein_ayam cooked,ayam goreng kunyit istimewa menu ayam goreng kunyit deluxe ala yellow fit kitchen rendah kalori dan bergizi nasi putih protein_ayam goreng,ayam goreng kunyit istimewa menu ayam goreng kunyit deluxe ala yellow fit kitchen rendah kalori dan bergizi,ayam,True
448,Opor Susu Legenda Istimewa,ayam,499,nasi kuning,menu opor susu legenda deluxe ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'kuning']",opor susu legenda deluxe lainnya nasi kuning menu opor susu legenda deluxe ala yellow fit kitchen rendah kalori dan bergizi,nasi kuning,opor susu legenda istimewa,menu opor susu legenda deluxe ala yellow fit kitchen rendah kalori dan bergizi,,opor susu legenda istimewa opor susu legenda istimewa,opor susu legenda istimewa menu opor susu legenda deluxe ala yellow fit kitchen rendah kalori dan bergizi nasi kuning ,opor susu legenda istimewa menu opor susu legenda deluxe ala yellow fit kitchen rendah kalori dan bergizi,ayam,True
141,Japanese Sapi Gyudon Dengan Nasi Merah Mangkuk,sapi,355,jagung nasi merah nasi putih,menu japanese beef gyudon with brown rice bowl yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",japanese beef gyudon with brown rice bowl sapi jagung nasi merah nasi putih menu japanese beef gyudon with brown rice bowl yang sehat dan lezat,"jagung, nasi merah, nasi putih",japanese sapi gyudon dengan nasi merah mangkuk,menu japanese beef gyudon with brown rice bowl yang sehat dan lezat,protein_sapi,japanese sapi gyudon dengan nasi merah mangkuk protein_sapi,japanese sapi gyudon dengan nasi merah mangkuk menu japanese beef gyudon with brown rice bowl yang sehat dan lezat nasi putih jagung merah protein_sapi,japanese sapi gyudon dengan nasi merah mangkuk menu japanese beef gyudon with brown rice bowl yang sehat dan lezat,sapi,True
342,Sehat Oseng Mercon Sapi Chef S Choice,sapi,524,nasi merah,menu healthy oseng mercon sapi chef s choice ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",healthy oseng mercon sapi chef s choice sapi nasi merah menu healthy oseng mercon sapi chef s choice ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,sehat oseng mercon sapi chef s choice,menu healthy oseng mercon sapi chef s choice ala yellow fit kitchen rendah kalori dan bergizi,protein_sapi,sehat oseng mercon sapi chef s choice protein_sapi,sehat oseng mercon sapi chef s choice menu healthy oseng mercon sapi chef s choice ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein_sapi,sehat oseng mercon sapi chef s choice menu healthy oseng mercon sapi chef s choice ala yellow fit kitchen rendah kalori dan bergizi,sapi,True
34,Bola Ayam Saus Asam Pedas,ayam,400,jagung nasi merah nasi putih,bola ayam saus asam pedas segar tumis sayur,"['nasi', 'putih', 'jagung', 'merah']",bola ayam saus asam pedas ayam jagung nasi merah nasi putih bola ayam saus asam pedas segar tumis sayur,"jagung, nasi merah, nasi putih",bola ayam saus asam pedas,bola ayam saus asam pedas segar tumis sayur,protein_ayam pedas,bola ayam saus asam pedas protein_ayam flavored,bola ayam saus asam pedas bola ayam saus asam pedas segar tumis sayur nasi putih jagung merah protein_ayam pedas,bola ayam saus asam pedas bola ayam saus asam pedas segar tumis sayur,ayam,True
405,Mac Diet Panas Spesial Spesial,ayam,527,nasi merah,menu mac diet panas special special ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",mac diet panas special special lainnya nasi merah menu mac diet panas special special ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,mac diet panas spesial spesial,menu mac diet panas special special ala yellow fit kitchen rendah kalori dan bergizi,,mac diet panas spesial spesial mac diet panas spesial spesial,mac diet panas spesial spesial menu mac diet panas special special ala yellow fit kitchen rendah kalori dan bergizi nasi merah ,mac diet panas spesial spesial menu mac diet panas special special ala yellow fit kitchen rendah kalori dan bergizi,ayam,True
18,Dori Popcorn,ikan,395,jagung pasta,potongan dori renyah disajikan dengan pasta saus krim,"['jagung', 'pasta']",dori popcorn ikan jagung pasta potongan dori renyah disajikan dengan pasta saus krim,"jagung, pasta",dori popcorn,potongan dori renyah disajikan dengan pasta saus krim,protein_ikan,dori popcorn protein_ikan,dori popcorn potongan dori renyah disajikan dengan pasta saus krim jagung pasta protein_ikan,dori popcorn potongan dori renyah disajikan dengan pasta saus krim,ikan,True
392,Ayam Truffle Meatballs Yellowfit,ayam,528,nasi merah,menu chicken truffle meatballs yellowfit ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",chicken truffle meatballs yellowfit ayam nasi merah menu chicken truffle meatballs yellowfit ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,ayam truffle meatballs yellowfit,menu chicken truffle meatballs yellowfit ala yellow fit kitchen rendah kalori dan bergizi,protein_ayam,ayam truffle meatballs yellowfit protein_ayam protein_sapi,ayam truffle meatballs yellowfit menu chicken truffle meatballs yellowfit ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein_ayam,ayam truffle meatballs yellowfit menu chicken truffle meatballs yellowfit ala yellow fit kitchen rendah kalori dan bergizi,ayam,True
309,Khao Soi Noodle Super,ayam,471,jagung,menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi,['jagung'],khao soi noodle supreme lainnya jagung menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi,jagung,khao soi noodle super,menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi,,khao soi noodle super khao soi noodle super,khao soi noodle super menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi jagung ,khao soi noodle super menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi,ayam,True
300,Ikan Stik Saus Wijen Premium,ikan,360,jagung nasi merah nasi putih,menu fish stick saus wijen premium yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",fish stick saus wijen premium ikan jagung nasi merah nasi putih menu fish stick saus wijen premium yang sehat dan lezat,"jagung, nasi merah, nasi putih",ikan stik saus wijen premium,menu fish stick saus wijen premium yang sehat dan lezat,protein_ikan,ikan stik saus wijen premium protein_ikan flavored,ikan stik saus wijen premium menu fish stick saus wijen premium yang sehat dan lezat nasi putih jagung merah protein_ikan,ikan stik saus wijen premium menu fish stick saus wijen premium yang sehat dan lezat,ikan,True
44,Dori Katsu Pasta Aglio Eolio,ikan,400,pasta,katsu ikan dori disajikan dengan pasta aglio eolio,['pasta'],dori katsu pasta aglio eolio ikan pasta katsu ikan dori disajikan dengan pasta aglio eolio,pasta,dori katsu pasta aglio eolio,katsu ikan dori disajikan dengan pasta aglio eolio,protein_ikan,dori katsu pasta aglio eolio protein_ikan,dori katsu pasta aglio eolio katsu ikan dori disajikan dengan pasta aglio eolio pasta protein_ikan,dori katsu pasta aglio eolio katsu ikan dori disajikan dengan pasta aglio eolio,ikan,True
404,Sehat Japanese Sushi Roll,ayam,527,nasi hitam,menu healthy japanese sushi roll ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'hitam']",healthy japanese sushi roll lainnya nasi hitam menu healthy japanese sushi roll ala yellow fit kitchen rendah kalori dan bergizi,nasi hitam,sehat japanese sushi roll,menu healthy japanese sushi roll ala yellow fit kitchen rendah kalori dan bergizi,,sehat japanese sushi roll sehat japanese sushi roll,sehat japanese sushi roll menu healthy japanese sushi roll ala yellow fit kitchen rendah kalori dan bergizi nasi hitam ,sehat japanese sushi roll menu healthy japanese sushi roll ala yellow fit kitchen rendah kalori dan bergizi,ayam,True
89,Ikan Acar Kuning,ikan,395,kentang nasi merah nasi putih,ikan bumbu acar kuning segar lauk perkedel tahu,"['nasi', 'putih', 'kentang', 'merah']",ikan acar kuning ikan kentang nasi merah nasi putih ikan bumbu acar kuning segar lauk perkedel tahu,"kentang, nasi merah, nasi putih",ikan acar kuning,ikan bumbu acar kuning segar lauk perkedel tahu,protein_ikan,ikan acar kuning protein_ikan,ikan acar kuning ikan bumbu acar kuning segar lauk perkedel tahu nasi putih kentang merah protein_ikan,ikan acar kuning ikan bumbu acar kuning segar lauk perkedel tahu,ikan,True
143,Sei Ayam Dengan Lemonilo Premium,ayam,418,jagung nasi merah kentang,menu sei ayam with lemonilo premium yang sehat dan lezat,"['nasi', 'kentang', 'jagung', 'merah']",sei ayam with lemonilo premium ayam jagung nasi merah kentang menu sei ayam with lemonilo premium yang sehat dan lezat,"jagung, nasi merah, kentang",sei ayam dengan lemonilo premium,menu sei ayam with lemonilo premium yang sehat dan lezat,protein_ayam,sei ayam dengan lemonilo premium protein_ayam,sei ayam dengan lemonilo premium menu sei ayam with lemonilo premium yang sehat dan lezat nasi kentang jagung merah protein_ayam,sei ayam dengan lemonilo premium menu sei ayam with lemonilo premium yang sehat dan lezat,ayam,True
42,Sapi Patty Barbeque,sapi,395,ubi kentang nasi merah nasi putih,patty sapi panggang saus barbeque tanpa roti,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",beef patty bbq sapi ubi kentang nasi merah nasi putih patty sapi panggang saus barbeque tanpa roti,"ubi, kentang, nasi merah, nasi putih",sapi patty barbeque,patty sapi panggang saus barbeque tanpa roti,protein_sapi,sapi patty barbeque protein_sapi,sapi patty barbeque patty sapi panggang saus barbeque tanpa roti nasi merah ubi putih kentang protein_sapi,sapi patty barbeque patty sapi panggang saus barbeque tanpa roti,sapi,True
175,Ayam Lada Hitam Telur Tortila Lengkap,ayam,390,kentang ubi nasi merah nasi putih,menu chicken blackpepper egg tortila lengkap yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",chicken blackpepper egg tortila lengkap ayam kentang ubi nasi merah nasi putih menu chicken blackpepper egg tortila lengkap yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",ayam lada hitam telur tortila lengkap,menu chicken blackpepper egg tortila lengkap yang sehat dan lezat,protein_ayam blackpepper,ayam lada hitam telur tortila lengkap protein_ayam flavored,ayam lada hitam telur tortila lengkap menu chicken blackpepper egg tortila lengkap yang sehat dan lezat nasi merah ubi putih kentang protein_ayam blackpepper,ayam lada hitam telur tortila lengkap menu chicken blackpepper egg tortila lengkap yang sehat dan lezat,ayam,True
494,Mie Goreng Sayur,vegetarian,350,mie,mie goreng dengan banyak sayuran sawi kol wortel,['mie'],mie goreng sayur vegetarian mie mie goreng dengan banyak sayuran sawi kol wortel,mie,mie goreng sayur,mie goreng dengan banyak sayuran sawi kol wortel,protein_vegetarian,mie goreng sayur protein_vegetarian cooked,mie goreng sayur mie goreng dengan banyak sayuran sawi kol wortel mie protein_vegetarian,mie goreng sayur mie goreng dengan banyak sayuran sawi kol wortel,vegetarian,True
262,Ayam Maranggi Spesial,ayam,434,jagung nasi merah nasi putih,menu ayam maranggi spesial yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",ayam maranggi spesial ayam jagung nasi merah nasi putih menu ayam maranggi spesial yang sehat dan lezat,"jagung, nasi merah, nasi putih",ayam maranggi spesial,menu ayam maranggi spesial yang sehat dan lezat,protein_ayam,ayam maranggi spesial protein_ayam,ayam maranggi spesial menu ayam maranggi spesial yang sehat dan lezat nasi putih jagung merah protein_ayam,ayam maranggi spesial menu ayam maranggi spesial yang sehat dan lezat,ayam,True
425,Ayam Telur Okonomiyaki Istimewa,ayam,543,nasi hitam,menu chicken egg okonomiyaki deluxe ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'hitam']",chicken egg okonomiyaki deluxe ayam nasi hitam menu chicken egg okonomiyaki deluxe ala yellow fit kitchen rendah kalori dan bergizi,nasi hitam,ayam telur okonomiyaki istimewa,menu chicken egg okonomiyaki deluxe ala yellow fit kitchen rendah kalori dan bergizi,protein_ayam,ayam telur okonomiyaki istimewa protein_ayam,ayam telur okonomiyaki istimewa menu chicken egg okonomiyaki deluxe ala yellow fit kitchen rendah kalori dan bergizi nasi hitam protein_ayam,ayam telur okonomiyaki istimewa menu chicken egg okonomiyaki deluxe ala yellow fit kitchen rendah kalori dan bergizi,ayam,True
331,Mac Diet Panas Spesial Istimewa,ayam,526,nasi merah,menu mac diet panas special deluxe ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",mac diet panas special deluxe lainnya nasi merah menu mac diet panas special deluxe ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,mac diet panas spesial istimewa,menu mac diet panas special deluxe ala yellow fit kitchen rendah kalori dan bergizi,,mac diet panas spesial istimewa mac diet panas spesial istimewa,mac diet panas spesial istimewa menu mac diet panas special deluxe ala yellow fit kitchen rendah kalori dan bergizi nasi merah ,mac diet panas spesial istimewa menu mac diet panas special deluxe ala yellow fit kitchen rendah kalori dan bergizi,ayam,True
37,Dori Sambal Ijo,ikan,400,kentang nasi merah nasi putih,ikan dori bumbu sambal ijo pedas nikmat,"['nasi', 'putih', 'kentang', 'merah']",dori sambal ijo ikan kentang nasi merah nasi putih ikan dori bumbu sambal ijo pedas nikmat,"kentang, nasi merah, nasi putih",dori sambal ijo,ikan dori bumbu sambal ijo pedas nikmat,protein_ikan,dori sambal ijo protein_ikan,dori sambal ijo ikan dori bumbu sambal ijo pedas nikmat nasi putih kentang merah protein_ikan,dori sambal ijo ikan dori bumbu sambal ijo pedas nikmat,ikan,True
277,Panggang Ayam Dengan Lemonilo Sehat,ayam,395,kentang ubi nasi merah nasi putih,menu grilled chicken with lemonilo healthy yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",grilled chicken with lemonilo healthy ayam kentang ubi nasi merah nasi putih menu grilled chicken with lemonilo healthy yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",panggang ayam dengan lemonilo sehat,menu grilled chicken with lemonilo healthy yang sehat dan lezat,protein_ayam panggang,panggang ayam dengan lemonilo sehat protein_ayam cooked,panggang ayam dengan lemonilo sehat menu grilled chicken with lemonilo healthy yang sehat dan lezat nasi merah ubi putih kentang protein_ayam panggang,panggang ayam dengan lemonilo sehat menu grilled chicken with lemonilo healthy yang sehat dan lezat,ayam,True
